strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
SuperTrend (Triple),GVT&D,5min,Intraday,231,36.3636,0.946,-0.0333,-0.3804,27.658,-9.4099,134712.1605,142394.4073,1.6037,-0.9687,19.2918
SuperTrend (Triple),ENRIN,5min,Scalping,367,33.515,0.8976,-0.0265,-0.7606,18.4099,-9.7861,85349.1386,95086.858,0.6939,-0.3897,31.7893
ORB + VWAP,INDIGO,5min,Scalping,83,28.9157,0.5271,-0.1274,-4.5948,10.3707,-10.1082,11783.4114,22353.5888,0.491,-0.3789,7.2569
ATM Premium (Open),TATAELXSI,5min,Intraday,102,36.2745,0.8295,-0.0984,-1.3957,14.1695,-10.1188,48807.9245,58840.8646,1.3191,-0.9052,-21.6101
SuperTrend (Triple),LTM,5min,Intraday,204,36.2745,0.8859,-0.0491,-0.8553,16.2308,-10.2934,77789.423,87808.0622,1.0512,-0.6754,-4.9047
ATM Premium (Open),INDIGO,5min,Scalping,103,30.0971,0.6847,-0.1048,-2.7314,12.4029,-10.4084,23441.0783,34237.3251,0.7562,-0.4755,7.2569
SuperTrend (Triple),GVT&D,5min,Scalping,383,33.9426,0.9122,-0.0268,-0.6234,26.0418,-10.5494,106555.0638,116816.7848,0.8197,-0.4617,19.2918
SuperTrend (Triple),TVSMOTOR,1h,Scalping,41,26.8293,0.6457,-0.2648,-3.2418,13.567,-10.5994,19784.7119,30639.6052,1.7986,-1.0213,11.2746
Adaptive Edge (Vol+IB),MUTHOOTFIN,15min,Intraday,111,33.3333,0.8788,-0.0899,-0.9336,21.7144,-10.6506,72369.6756,82349.6145,1.9559,-1.1128,-24.3252
Adaptive Edge (Vol+IB),NIFTY_50,15min,Intraday,139,35.9712,0.7522,-0.0802,-2.0737,12.4412,-10.7826,33829.4299,44974.7341,0.6766,-0.5053,-4.6642
Adaptive Edge (Vol+IB),DATAPATTNS,15min,Intraday,105,35.2381,0.932,-0.0794,-0.5157,25.4704,-10.7992,114401.4481,122743.0673,3.0919,-1.805,63.7584
ORB + VWAP,HAL,5min,Scalping,115,27.8261,0.5898,-0.1013,-3.8996,11.2997,-11.0904,16754.6349,28406.8197,0.5236,-0.3423,17.1634
ORB + VWAP,TITAN,5min,Scalping,125,29.6,0.5674,-0.0946,-4.0893,12.7506,-11.2363,15514.8025,27344.7411,0.4193,-0.3107,18.3761
Adaptive Edge (Vol+IB),THANGAMAYL,15min,Intraday,114,35.0877,0.9413,-0.0709,-0.4275,38.3691,-11.27,129489.9309,137569.8229,3.2372,-1.8591,46.6111
SuperTrend (Triple),TVSMOTOR,15min,Scalping,132,31.8182,0.7573,-0.0891,-2.068,13.3983,-11.3726,36701.9105,48463.5904,0.8739,-0.5385,11.2746
SuperTrend (Triple),PERSISTENT,1h,Scalping,34,29.4118,0.6177,-0.3478,-3.5501,15.4189,-11.5234,19109.113,30933.6937,1.9109,-1.2889,4.0324
SuperTrend (Triple),NIFTY_BANK,5min,Intraday,233,36.9099,0.7642,-0.0521,-1.956,15.475,-11.6135,39335.243,51470.0919,0.4574,-0.3501,-4.7945
SuperTrend (Triple),SHAILY,15min,Aggressive,92,26.087,0.8838,-0.1119,-0.8143,18.7033,-11.6868,78261.3899,88553.7871,3.2609,-1.3023,62.6742
SuperTrend (Triple),HAL,15min,Intraday,82,31.7073,0.7643,-0.1474,-1.9121,14.0415,-11.9281,39207.8845,51297.4383,1.508,-0.916,17.1634
Adaptive Edge (Vol+IB),LTM,15min,Aggressive,113,25.6637,0.8503,-0.1025,-1.1144,19.6646,-11.9944,65817.7221,77404.8985,2.2696,-0.9215,-4.9047
ATM Premium (Open),INDIGO,5min,Intraday,97,34.0206,0.7905,-0.1256,-1.6851,14.0689,-12.0644,45963.4364,58142.4733,1.3928,-0.9085,7.2569
SuperTrend (Triple),TVSMOTOR,5min,Scalping,353,34.2776,0.8256,-0.0356,-1.3638,15.7739,-12.0884,59550.6546,72130.0305,0.4922,-0.3109,11.2746
Flow Navigator (Vol),MCX,1h,Intraday,18,27.7778,0.6323,-0.677,-3.3696,20.2803,-12.2673,20951.1936,33137.4887,4.1902,-2.549,23.8886
SuperTrend (Triple),TITAN,5min,Scalping,356,33.9888,0.7969,-0.0364,-1.5661,15.1882,-12.3777,50894.0161,63863.7031,0.4206,-0.2718,18.3761
SuperTrend (Triple),LTM,5min,Aggressive,207,23.6715,0.8501,-0.0599,-1.0439,18.5519,-12.4044,70269.8522,82662.7289,1.4341,-0.5232,-4.9047
ORB + VWAP,SIEMENS,5min,Scalping,133,28.5714,0.6784,-0.0984,-2.8373,15.0869,-12.4465,27608.4511,40694.3643,0.7265,-0.4284,28.0896
SuperTrend (Triple),TITAN,1h,Scalping,36,22.2222,0.4847,-0.3695,-5.4289,15.6834,-12.6556,12512.7455,25815.3631,1.5641,-0.922,18.3761
SuperTrend (Triple),ACUTAAS,5min,Scalping,354,33.6158,0.8792,-0.0361,-0.8697,21.9537,-12.6756,93055.4347,105842.2335,0.782,-0.4504,51.2271
Flow Navigator (Vol),SHAILY,1h,Scalping,16,18.75,0.4436,-0.8221,-5.8957,13.8681,-12.6935,10487.7679,23641.8027,3.4959,-1.8186,62.6742
SuperTrend (Triple),SHAILY,5min,Intraday,215,33.9535,0.9204,-0.0525,-0.5605,24.1653,-12.7541,130488.6828,141779.0439,1.7875,-0.9984,62.6742
ORB + VWAP,TVSMOTOR,5min,Aggressive,89,20.2247,0.6487,-0.1518,-2.9052,18.116,-12.9065,24939.653,38447.2535,1.3855,-0.5415,11.2746
ATM Premium (Open),TORNTPHARM,5min,Intraday,98,31.6327,0.7353,-0.1366,-2.2736,12.9189,-12.9189,37176.8572,50560.1768,1.1993,-0.7546,19.3096
ATM Premium (Open),MCX,5min,Aggressive,108,22.2222,0.7865,-0.1214,-1.6089,19.9385,-12.9549,48272.0694,61378.3644,2.0113,-0.7307,23.8886
ATM Premium (Open),HAL,5min,Aggressive,93,22.5806,0.6799,-0.1464,-2.6761,17.3507,-13.035,28917.0256,42528.5104,1.377,-0.5907,17.1634
ATM Premium (Open),MCX,5min,Intraday,113,35.3982,0.8134,-0.1179,-1.5343,21.2062,-13.1997,58039.8885,71357.8539,1.451,-0.9775,23.8886
ORB + VWAP,TVSMOTOR,5min,Intraday,85,29.4118,0.6649,-0.1629,-2.9288,16.7189,-13.2256,27478.4819,41326.3041,1.0991,-0.6888,11.2746
ORB + VWAP,GVT&D,5min,Aggressive,78,23.0769,0.756,-0.1726,-1.798,20.0516,-13.3775,41711.5103,55177.5525,2.3173,-0.9196,19.2918
ATM Premium (Open),TITAN,5min,Aggressive,96,18.75,0.67,-0.1461,-2.4735,16.7241,-13.4531,28474.1742,42499.8069,1.5819,-0.5449,18.3761
SuperTrend (Triple),ACUTAAS,5min,Aggressive,218,24.7706,0.8898,-0.0591,-0.7439,23.636,-13.589,104064.1883,116954.472,1.9271,-0.7131,51.2271
ATM Premium (Open),TATAELXSI,5min,Aggressive,107,22.4299,0.7459,-0.1323,-2.0051,16.2887,-13.7025,41530.9215,55681.6791,1.7305,-0.6709,-21.6101
Flow Navigator (Vol),TORNTPHARM,1h,Aggressive,13,7.6923,0.2047,-1.1206,-11.7375,13.7459,-13.7459,3749.7858,18317.4904,3.7498,-1.5265,19.3096
SuperTrend (Triple),NIFTY_50,5min,Aggressive,266,23.6842,0.6794,-0.055,-2.6024,13.9412,-13.7471,31011.2867,45647.0027,0.4922,-0.2249,-4.6642
Adaptive Edge (Vol+IB),TATAELXSI,15min,Aggressive,126,23.0159,0.8223,-0.1099,-1.3128,15.9775,-13.8883,64114.4803,77965.5004,2.2108,-0.8038,-21.6101
Adaptive Edge (Vol+IB),MUTHOOTFIN,15min,Aggressive,112,21.4286,0.8158,-0.1244,-1.3115,26.289,-14.0899,61741.3904,75677.387,2.5726,-0.86,-24.3252
ORB + VWAP,HAL,5min,Intraday,81,27.1605,0.6098,-0.1842,-3.6002,15.5403,-14.0966,23315.5952,38233.2805,1.0598,-0.648,17.1634
ATM Premium (Open),INDIGO,5min,Aggressive,95,21.0526,0.7148,-0.1552,-2.1865,14.2238,-14.2238,36952.3517,51692.6091,1.8476,-0.6892,7.2569
SuperTrend (Triple),BSE,15min,Scalping,115,30.4348,0.6801,-0.133,-2.8615,18.15,-14.4557,32508.0723,47801.7562,0.9288,-0.5975,12.3376
ATM Premium (Open),KAYNES,5min,Scalping,114,28.0702,0.6775,-0.1339,-2.7356,16.1697,-14.4608,32070.9815,47340.687,1.0022,-0.5773,-6.669
Adaptive Edge (Vol+IB),PERSISTENT,15min,Intraday,100,35.0,0.835,-0.146,-1.3327,20.066,-14.8756,73921.5001,88524.1823,2.112,-1.3619,4.0324
ATM Premium (Open),THANGAMAYL,5min,Intraday,107,36.4486,0.8587,-0.134,-1.1118,30.4041,-15.0287,87140.7035,101481.2335,2.2344,-1.4924,46.6111
SuperTrend (Triple),ENRIN,1h,Scalping,38,23.6842,0.5893,-0.4164,-3.8908,22.6433,-15.1156,22700.8395,38524.1986,2.5223,-1.3284,31.7893
ORB + VWAP,GVT&D,5min,Scalping,99,30.303,0.6257,-0.1652,-3.3298,15.3803,-15.3542,27331.9334,43684.5771,0.9111,-0.6331,19.2918
SuperTrend (Triple),DATAPATTNS,5min,Intraday,234,33.7607,0.894,-0.0635,-0.7542,25.3912,-15.5758,125370.3454,140232.9093,1.587,-0.9047,63.7584
Adaptive Edge (Vol+IB),LTM,15min,Intraday,114,35.0877,0.8259,-0.1385,-1.4088,21.4192,-15.7739,74878.1469,90663.169,1.872,-1.2252,-4.9047
SuperTrend (Triple),NIFTY_BANK,5min,Scalping,386,34.715,0.6453,-0.0445,-3.259,16.3971,-15.868,31262.482,48446.5166,0.2333,-0.1922,-4.7945
SuperTrend (Triple),HAL,1h,Intraday,24,25.0,0.4869,-0.699,-5.4651,16.5373,-15.8936,15916.0867,32691.7365,2.6527,-1.8162,17.1634
ATM Premium (Open),ENRIN,5min,Aggressive,103,23.301,0.7585,-0.1624,-1.9362,18.0913,-16.1694,52526.0402,69252.5645,2.1886,-0.8766,31.7893
ATM Premium (Open),NETWEB,5min,Intraday,113,33.6283,0.841,-0.1439,-1.2609,23.1933,-16.5504,85979.1513,102234.9468,2.2626,-1.3631,65.5562
SuperTrend (Triple),TATAELXSI,5min,Scalping,358,31.0056,0.7693,-0.0498,-1.8623,22.8314,-16.6075,59484.1188,77319.5823,0.5359,-0.313,-21.6101
SuperTrend (Triple),ENRIN,15min,Intraday,88,34.0909,0.7804,-0.1952,-1.8401,25.5314,-16.8239,61033.5567,78209.2989,2.0345,-1.3484,31.7893
SuperTrend (Triple),NIFTY_50,5min,Scalping,402,34.3284,0.575,-0.0457,-4.0161,16.8466,-16.8466,24869.1454,43247.7584,0.1802,-0.1638,-4.6642
SuperTrend (Triple),SIEMENS,15min,Scalping,137,29.927,0.7007,-0.1318,-2.6361,21.0409,-16.8819,42260.5058,60312.0296,1.0307,-0.6283,28.0896
SuperTrend (Triple),BSE,5min,Aggressive,223,24.6637,0.7971,-0.08,-1.4997,18.7434,-17.006,70079.312,87921.2285,1.2742,-0.5233,12.3376
SuperTrend (Triple),TITAN,1h,Aggressive,24,16.6667,0.3547,-0.7699,-7.3362,23.0141,-17.1928,10158.2818,28635.1934,2.5396,-1.4318,18.3761
Adaptive Edge (Vol+IB),NIFTY_BANK,15min,Aggressive,142,23.9437,0.6609,-0.1329,-2.9287,21.8673,-17.5084,36782.2833,55652.4954,1.0818,-0.5153,-4.7945
SuperTrend (Triple),MUTHOOTFIN,5min,Scalping,372,31.4516,0.7809,-0.0509,-1.669,21.7611,-17.6098,67487.7217,86420.4199,0.5768,-0.3389,-24.3252
SuperTrend (Triple),INDIGO,5min,Scalping,339,33.3333,0.7277,-0.0572,-2.2615,18.7205,-17.8629,51853.7928,71253.9202,0.4589,-0.3153,7.2569
Flow Navigator (Vol),TITAN,1h,Aggressive,13,0.0,0.0,-1.5417,-35.9735,18.312,-18.312,0.0,20041.6207,0,-1.5417,18.3761
SuperTrend (Triple),SHAILY,5min,Aggressive,241,23.2365,0.8751,-0.0738,-0.8182,24.8665,-18.3138,124693.5564,142489.6342,2.2267,-0.7702,62.6742
SuperTrend (Triple),SHAILY,1h,Scalping,33,24.2424,0.5536,-0.595,-4.3899,23.7881,-18.4793,24345.5665,43980.058,3.0432,-1.7592,62.6742
ATM Premium (Open),THANGAMAYL,5min,Aggressive,103,24.2718,0.7881,-0.1835,-1.6185,29.3973,-18.5785,70287.305,89188.0004,2.8115,-1.1434,46.6111
Adaptive Edge (Vol+IB),PERSISTENT,15min,Aggressive,119,21.8487,0.7878,-0.1609,-1.598,24.1891,-18.6604,71107.0444,90254.7317,2.7349,-0.9705,4.0324
SuperTrend (Triple),HAL,5min,Intraday,214,35.514,0.7571,-0.0938,-2.0082,22.1934,-18.663,62534.3543,82597.2993,0.8228,-0.5985,17.1634
ATM Premium (Open),TORNTPHARM,5min,Aggressive,93,18.2796,0.5525,-0.2196,-4.1011,20.1853,-18.7564,25207.3865,45625.9996,1.4828,-0.6003,19.3096
ATM Premium (Open),HAL,5min,Intraday,92,29.3478,0.593,-0.2226,-3.9039,21.56,-18.8388,29836.1196,50314.0337,1.105,-0.7741,17.1634
SuperTrend (Triple),PERSISTENT,5min,Scalping,370,31.3514,0.7749,-0.0563,-1.8119,22.0865,-19.1603,71669.9003,92486.8481,0.6178,-0.3641,4.0324
Adaptive Edge (Vol+IB),MCX,15min,Scalping,214,31.3084,0.7897,-0.0961,-1.7239,22.2165,-19.2651,77222.7672,97782.0921,1.1526,-0.6652,23.8886
ORB + VWAP,SHAILY,5min,Intraday,102,37.2549,0.7605,-0.1985,-1.9741,27.6286,-19.39,64309.6914,84558.5141,1.6924,-1.3212,62.6742
SuperTrend (Triple),HAL,5min,Aggressive,229,23.5808,0.7371,-0.0921,-2.03,23.6961,-19.4963,59122.6125,80211.2198,1.0949,-0.4583,17.1634
Adaptive Edge (Vol+IB),MUTHOOTFIN,15min,Scalping,205,27.3171,0.7461,-0.104,-2.0842,26.9321,-19.7255,62642.7695,83965.9067,1.1186,-0.5635,-24.3252
Adaptive Edge (Vol+IB),NIFTY_BANK,15min,Intraday,137,30.6569,0.628,-0.1599,-3.4615,21.9033,-19.9784,36982.2225,58886.6659,0.8805,-0.6199,-4.7945
SuperTrend (Triple),SIEMENS,5min,Scalping,363,32.5069,0.7569,-0.0603,-2.0014,23.0726,-19.9861,68119.2974,89996.8661,0.5773,-0.3673,28.0896
SuperTrend (Triple),NIFTY_50,5min,Intraday,257,30.7393,0.5604,-0.0863,-4.2187,19.9986,-19.9986,28257.7503,50425.9403,0.3577,-0.2833,-4.6642
SuperTrend (Triple),LTM,1h,Intraday,30,26.6667,0.5642,-0.7093,-4.2829,23.22,-20.0332,27553.6265,48832.8784,3.4442,-2.2197,-4.9047
SuperTrend (Triple),GVT&D,1h,Aggressive,29,17.2414,0.6265,-0.7238,-3.0982,22.4221,-20.5004,35200.2007,56189.7394,7.04,-2.3412,19.2918
ATM Premium (Open),NETWEB,5min,Scalping,117,26.4957,0.6286,-0.1931,-3.3642,22.3775,-20.6211,38237.3755,60829.4288,1.2335,-0.7073,65.5562
SuperTrend (Triple),KAYNES,5min,Intraday,228,33.7719,0.8248,-0.0958,-1.3619,29.0775,-20.7643,102909.1405,124762.7008,1.3365,-0.8262,-6.669
Adaptive Edge (Vol+IB),DATAPATTNS,15min,Scalping,190,29.4737,0.8102,-0.1161,-1.5186,21.1121,-20.9072,94162.2832,116219.7094,1.6815,-0.8673,63.7584
SuperTrend (Triple),ENRIN,5min,Aggressive,239,22.5941,0.8019,-0.0939,-1.4428,21.7754,-21.1059,90796.9825,113234.2922,1.6814,-0.6121,31.7893
Adaptive Edge (Vol+IB),DATAPATTNS,15min,Aggressive,112,21.4286,0.8254,-0.1854,-1.2696,31.8763,-21.1101,98161.2216,118925.0162,4.0901,-1.3514,63.7584
SuperTrend (Triple),SHAILY,1h,Intraday,20,25.0,0.5888,-1.0887,-3.807,22.291,-21.2029,31174.9955,52949.2226,6.235,-3.5299,62.6742
Flow Navigator (Vol),TITAN,1h,Intraday,12,0.0,0.0,-2.0221,-33.7723,21.7806,-21.7806,0.0,24264.8078,0,-2.0221,18.3761
Adaptive Edge (Vol+IB),NIFTY_50,15min,Scalping,274,27.7372,0.5185,-0.09,-4.8261,22.2172,-21.9558,26551.6142,51210.4563,0.3494,-0.2586,-4.6642
ATM Premium (Open),TVSMOTOR,5min,Aggressive,106,18.8679,0.5557,-0.2315,-4.0989,24.6852,-22.1082,30689.3373,55226.3148,1.5345,-0.6422,11.2746
Adaptive Edge (Vol+IB),INDIGO,15min,Intraday,126,30.1587,0.7588,-0.1876,-1.9482,28.4998,-22.2076,74357.9259,97996.0813,1.9568,-1.1136,7.2569
ORB + VWAP,SIEMENS,5min,Intraday,99,28.2828,0.5832,-0.2506,-4.0324,25.5415,-22.3678,34722.8515,59534.1095,1.2401,-0.8385,28.0896
Adaptive Edge (Vol+IB),MCX,15min,Intraday,122,31.9672,0.7763,-0.1977,-1.8499,31.3297,-22.7932,83671.7032,107785.9805,2.1454,-1.2986,23.8886
Adaptive Edge (Vol+IB),KAYNES,15min,Scalping,221,30.3167,0.773,-0.1174,-1.7964,23.898,-23.7744,88367.8106,114323.2997,1.3189,-0.7424,-6.669
Adaptive Edge (Vol+IB),TVSMOTOR,15min,Aggressive,141,21.2766,0.7024,-0.1852,-2.3651,27.492,-23.8197,61635.0167,87746.9106,2.0545,-0.7905,11.2746
Adaptive Edge (Vol+IB),SIEMENS,15min,Intraday,119,30.2521,0.7379,-0.2278,-2.2216,34.8924,-24.9408,76304.1502,103408.0237,2.1196,-1.2459,28.0896
ATM Premium (Open),SHAILY,5min,Aggressive,104,21.1538,0.6953,-0.2613,-2.3837,26.0896,-24.9894,62032.1553,89211.7529,2.8196,-1.0879,62.6742
SuperTrend (Triple),HAL,5min,Scalping,387,29.9742,0.6508,-0.0738,-3.0445,26.8465,-25.0517,53191.1195,81732.7847,0.4585,-0.3016,17.1634
Adaptive Edge (Vol+IB),LTM,15min,Scalping,190,27.8947,0.6562,-0.1492,-3.098,26.2419,-25.1179,54119.8152,82472.8154,1.0211,-0.602,-4.9047
SuperTrend (Triple),SIEMENS,1h,Intraday,26,19.2308,0.4229,-1.0906,-6.4179,25.4839,-25.4839,20781.8579,49136.2589,4.1564,-2.3398,28.0896
Adaptive Edge (Vol+IB),HAL,15min,Intraday,118,28.8136,0.6513,-0.2422,-3.0976,25.7712,-25.5518,53374.8758,81949.5088,1.5698,-0.9756,17.1634
SuperTrend (Triple),ACUTAAS,5min,Intraday,215,33.9535,0.7838,-0.1356,-1.6685,34.6294,-26.6164,105667.9298,134818.8368,1.4475,-0.9494,51.2271
Adaptive Edge (Vol+IB),THANGAMAYL,15min,Scalping,196,29.0816,0.7691,-0.1519,-1.8515,37.1439,-26.9828,99189.7458,128969.4543,1.7402,-0.9278,46.6111
ATM Premium (Open),TVSMOTOR,5min,Intraday,108,26.8519,0.5345,-0.2876,-4.7389,28.6048,-27.0946,35661.7084,66721.7573,1.2297,-0.8446,11.2746
Adaptive Edge (Vol+IB),NIFTY_BANK,15min,Scalping,268,27.6119,0.5028,-0.1197,-5.2189,28.196,-27.5786,32433.0355,64503.7781,0.4383,-0.3325,-4.7945
Adaptive Edge (Vol+IB),PERSISTENT,15min,Scalping,191,26.178,0.6302,-0.1749,-3.3577,31.4377,-28.8852,56943.2135,90353.4129,1.1389,-0.6408,4.0324
Adaptive Edge (Vol+IB),INDIGO,15min,Scalping,219,26.0274,0.6138,-0.154,-3.4247,29.5994,-29.0409,53613.3606,87340.2484,0.9406,-0.5391,7.2569
Adaptive Edge (Vol+IB),TATAELXSI,15min,Intraday,119,29.4118,0.6415,-0.2811,-3.3183,32.6179,-29.2221,59845.9091,93296.3744,1.7099,-1.1107,-21.6101
SuperTrend (Triple),BSE,5min,Intraday,221,32.5792,0.6703,-0.1546,-2.897,29.9402,-29.5233,69470.5371,103643.9488,0.9649,-0.6956,12.3376
Adaptive Edge (Vol+IB),HAL,15min,Aggressive,132,18.1818,0.5609,-0.264,-3.7882,31.0497,-30.0174,44522.8494,79375.5799,1.8551,-0.735,17.1634
ATM Premium (Open),SHAILY,5min,Intraday,105,31.4286,0.663,-0.3377,-2.9934,32.0524,-31.0551,69756.7143,105219.1241,2.1138,-1.4614,62.6742
Adaptive Edge (Vol+IB),GVT&D,15min,Scalping,207,27.5362,0.7056,-0.1742,-2.4751,34.336,-31.1888,86454.9188,122523.0887,1.5168,-0.8168,19.2918
Adaptive Edge (Vol+IB),TVSMOTOR,15min,Intraday,119,28.5714,0.5721,-0.3364,-4.1512,38.486,-33.6802,53520.9723,93547.6243,1.5741,-1.1006,11.2746
SuperTrend (Triple),ENRIN,5min,Intraday,238,31.0924,0.6706,-0.1812,-2.9016,37.9405,-35.8029,87782.0772,130902.0528,1.1862,-0.7982,31.7893
Adaptive Edge (Vol+IB),TATAELXSI,15min,Scalping,208,23.0769,0.4941,-0.2122,-5.2546,36.1076,-35.9895,43104.6025,87245.062,0.898,-0.5453,-21.6101
Adaptive Edge (Vol+IB),SIEMENS,15min,Aggressive,132,17.4242,0.5688,-0.3318,-3.7705,41.4555,-36.3276,57771.0531,101574.9969,2.5118,-0.9319,28.0896
Adaptive Edge (Vol+IB),TITAN,15min,Intraday,118,22.8814,0.438,-0.398,-6.1778,39.327,-37.9169,36604.3717,83568.2408,1.3557,-0.9183,18.3761
Adaptive Edge (Vol+IB),ACUTAAS,15min,Aggressive,128,18.75,0.6378,-0.3582,-2.9491,40.3645,-38.2803,80714.4493,126560.9436,3.3631,-1.2169,51.2271
Adaptive Edge (Vol+IB),HAL,15min,Scalping,211,20.8531,0.4121,-0.2279,-6.5336,38.6239,-38.411,33711.8624,81803.9498,0.7662,-0.4898,17.1634
Adaptive Edge (Vol+IB),TITAN,15min,Aggressive,139,13.6691,0.4128,-0.3443,-6.1166,38.4265,-38.4265,33641.4267,81504.6421,1.7706,-0.6792,18.3761
Adaptive Edge (Vol+IB),GVT&D,15min,Intraday,119,31.0924,0.6627,-0.3999,-3.0032,45.2724,-39.5405,93500.8121,141093.2666,2.527,-1.7206,19.2918
Adaptive Edge (Vol+IB),ENRIN,15min,Scalping,196,22.449,0.5225,-0.258,-4.7622,40.6795,-40.1618,55331.5247,105899.6437,1.2575,-0.6967,31.7893
Adaptive Edge (Vol+IB),ACUTAAS,15min,Scalping,185,24.3243,0.5495,-0.2743,-4.3276,40.8166,-40.3923,61898.0374,112637.2213,1.3755,-0.8046,51.2271
Adaptive Edge (Vol+IB),TORNTPHARM,15min,Aggressive,144,13.1944,0.4218,-0.3628,-5.9663,41.1412,-41.1412,38107.9592,90353.8029,2.0057,-0.7228,19.3096
Adaptive Edge (Vol+IB),GVT&D,15min,Aggressive,128,19.5312,0.6097,-0.4009,-3.3244,47.2551,-41.5568,80162.6098,131472.3396,3.2065,-1.2764,19.2918
Adaptive Edge (Vol+IB),TVSMOTOR,15min,Scalping,229,20.524,0.4374,-0.2342,-6.1384,42.1979,-41.7902,41701.7883,95332.9894,0.8873,-0.5238,11.2746
Adaptive Edge (Vol+IB),TITAN,15min,Scalping,220,16.3636,0.3343,-0.2515,-8.04,43.1988,-42.6964,27793.3646,83134.1439,0.772,-0.4518,18.3761
Adaptive Edge (Vol+IB),TORNTPHARM,15min,Intraday,130,20.7692,0.4295,-0.4375,-6.3643,45.0988,-43.8809,42822.6748,99699.7528,1.586,-0.968,19.3096
Adaptive Edge (Vol+IB),ENRIN,15min,Aggressive,145,16.5517,0.546,-0.3939,-4.0589,44.5634,-44.5196,68699.793,125812.3097,2.8625,-1.0398,31.7893
Adaptive Edge (Vol+IB),TORNTPHARM,15min,Scalping,227,15.859,0.3478,-0.2605,-7.9933,44.8527,-44.8527,31537.5873,90674.425,0.876,-0.4747,19.3096
Adaptive Edge (Vol+IB),SIEMENS,15min,Scalping,208,20.1923,0.4372,-0.2831,-6.1139,45.4476,-44.8617,45755.8299,104646.4524,1.0894,-0.6304,28.0896
Adaptive Edge (Vol+IB),ENRIN,15min,Intraday,131,25.9542,0.553,-0.4587,-4.3857,46.253,-46.2105,74317.2474,134401.3266,2.1858,-1.3856,31.7893
Adaptive Edge (Vol+IB),ACUTAAS,15min,Intraday,126,26.9841,0.5964,-0.4807,-3.723,48.1312,-46.9203,89519.0076,150090.9029,2.6329,-1.6314,51.2271
Adaptive Edge (Vol+IB),SHAILY,15min,Scalping,204,23.5294,0.5498,-0.3068,-4.302,49.5003,-47.2559,76416.171,138994.467,1.592,-0.891,62.6742
Adaptive Edge (Vol+IB),SHAILY,15min,Aggressive,122,17.2131,0.5529,-0.5078,-4.0061,54.1353,-47.5493,76606.4779,138554.291,3.6479,-1.3718,62.6742
Adaptive Edge (Vol+IB),SHAILY,15min,Intraday,119,24.3697,0.5339,-0.6304,-4.4981,57.8434,-54.2335,85935.6337,160949.9843,2.9633,-1.7883,62.6742
