strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
SuperTrend (Triple),THANGAMAYL,1h,Aggressive,27,33.3333,1.2989,0.591,1.7713,23.3274,13.195,69351.0649,53393.2002,7.7057,-2.9663,46.6111
Flow Navigator (Vol),NETWEB,1h,Intraday,19,42.1053,1.4445,0.7467,2.6329,6.8966,13.1515,46105.6762,31918.5822,5.7632,-2.9017,65.5562
ORB + VWAP,KAYNES,5min,Aggressive,82,29.2683,1.3015,0.1621,1.5435,9.6407,12.9571,57371.7958,44080.2497,2.3905,-0.76,-6.669
Adaptive Edge (Vol+IB),KAYNES,15min,Aggressive,120,27.5,1.1559,0.1229,0.8753,16.6317,12.6056,109336.7574,94593.4528,3.3132,-1.0873,-6.669
SuperTrend (Triple),KAYNES,5min,Aggressive,239,29.7071,1.1246,0.0563,0.7687,10.3613,12.5843,121389.4432,107940.7239,1.7097,-0.6425,-6.669
SuperTrend (Triple),NIFTY_50,15min,Intraday,73,53.4247,1.7596,0.1632,4.1295,3.1723,12.4801,27593.2718,15681.806,0.7075,-0.4612,-4.6642
Flow Navigator (Vol),GVT&D,1h,Intraday,16,50.0,1.483,0.8204,2.8321,7.3421,12.2076,40305.7075,27179.3939,5.0382,-3.3974,19.2918
SuperTrend (Triple),MCX,5min,Intraday,219,42.0091,1.1327,0.0577,0.8838,9.6413,12.1496,107843.4697,95208.7785,1.1722,-0.7497,23.8886
ORB + VWAP,NETWEB,5min,Aggressive,65,32.3077,1.2702,0.1851,1.5674,10.4439,11.527,56549.5313,44521.1542,2.6928,-1.0118,65.5562
SuperTrend (Triple),NIFTY_50,15min,Aggressive,75,37.3333,1.6547,0.145,3.328,2.0253,11.2825,27483.5427,16609.6658,0.9816,-0.3534,-4.6642
Flow Navigator (Vol),KAYNES,1h,Aggressive,17,35.2941,1.5111,0.6971,2.7663,10.7584,11.147,35033.6367,23183.5869,5.8389,-2.1076,-6.669
SuperTrend (Triple),TATAELXSI,1h,Aggressive,31,32.2581,1.3548,0.3851,2.0129,11.4029,11.1441,45586.9368,33648.8108,4.5587,-1.6023,-21.6101
Flow Navigator (Vol),TATAELXSI,1h,Intraday,17,52.9412,1.5402,0.6616,3.2009,10.7836,10.9152,32066.1169,20819.3616,3.5629,-2.6024,-21.6101
SuperTrend (Triple),KAYNES,15min,Scalping,118,42.3729,1.2135,0.0932,1.3581,6.4629,10.8508,62501.0732,51505.3018,1.25,-0.7574,-6.669
SuperTrend (Triple),BSE,15min,Aggressive,88,32.9545,1.2169,0.1284,1.3404,7.0212,10.8451,63385.8108,52087.7138,2.1857,-0.8828,12.3376
SuperTrend (Triple),LTM,15min,Aggressive,75,30.6667,1.2583,0.1491,1.5141,7.6892,10.8259,54456.3186,43277.3269,2.3677,-0.8323,-4.9047
SuperTrend (Triple),PERSISTENT,5min,Intraday,222,40.991,1.1122,0.0484,0.7566,14.6308,10.0918,106635.0517,95881.7333,1.1718,-0.7319,4.0324
Adaptive Edge (Vol+IB),BSE,15min,Aggressive,120,30.0,1.1449,0.0911,0.8979,14.6764,9.8588,86353.6623,75423.9042,2.3987,-0.8979,12.3376
SuperTrend (Triple),BSE,1h,Aggressive,22,31.8182,1.4079,0.4823,2.2369,7.1336,9.8441,36621.4157,26011.3037,5.2316,-1.7341,12.3376
SuperTrend (Triple),PERSISTENT,15min,Aggressive,78,32.0513,1.2043,0.1336,1.2683,14.4007,9.8025,61439.441,51017.3271,2.4576,-0.9626,4.0324
Flow Navigator (Vol),SIEMENS,1h,Scalping,19,42.1053,1.7288,0.4794,3.7645,4.3948,9.116,21605.9169,12497.8862,2.7007,-1.1362,28.0896
SuperTrend (Triple),SHAILY,15min,Scalping,133,39.0977,1.1389,0.0734,0.9203,11.8343,9.0918,80010.7281,70254.7199,1.5387,-0.8673,62.6742
SuperTrend (Triple),DATAPATTNS,15min,Aggressive,90,30.0,1.1313,0.1216,0.8327,16.121,8.9647,94271.1194,83326.3888,3.4915,-1.3226,63.7584
SuperTrend (Triple),SIEMENS,15min,Aggressive,88,30.6818,1.1723,0.1103,1.0804,10.7298,8.9498,66043.8963,56338.112,2.4461,-0.9236,28.0896
SuperTrend (Triple),NIFTY_BANK,15min,Intraday,78,47.4359,1.3463,0.1056,2.1818,3.9677,8.3362,32025.3844,23787.5312,0.8656,-0.5802,-4.7945
SuperTrend (Triple),MCX,1h,Scalping,37,40.5405,1.3419,0.2312,2.1094,5.4787,8.3353,33575.3549,25020.0353,2.2384,-1.1373,23.8886
Flow Navigator (Vol),NETWEB,1h,Aggressive,19,31.5789,1.3383,0.5053,1.8534,12.4398,8.2795,37982.9856,28382.4873,6.3305,-2.1833,65.5562
SuperTrend (Triple),TVSMOTOR,5min,Intraday,206,42.233,1.1156,0.0413,0.7856,5.3925,8.1135,82203.7836,73688.3205,0.9449,-0.6192,11.2746
Adaptive Edge (Vol+IB),THANGAMAYL,15min,Aggressive,96,27.0833,1.1102,0.1188,0.6623,22.8297,7.9513,114949.1873,103541.1764,4.4211,-1.4792,46.6111
ORB + VWAP,MCX,5min,Scalping,119,45.3782,1.2548,0.0662,1.6598,3.7113,7.9411,38803.9728,30923.7629,0.7186,-0.4758,23.8886
Flow Navigator (Vol),PERSISTENT,1h,Aggressive,12,33.3333,1.6004,0.6971,2.975,7.1704,7.8942,22298.6636,13933.4129,5.5747,-1.7417,4.0324
SuperTrend (Triple),MUTHOOTFIN,15min,Scalping,129,37.2093,1.178,0.0626,1.1093,11.977,7.8512,53414.2868,45344.6105,1.1128,-0.5598,-24.3252
SuperTrend (Triple),THANGAMAYL,15min,Aggressive,91,28.5714,1.1157,0.1112,0.7078,13.276,7.6498,97559.3232,87438.757,3.7523,-1.3452,46.6111
Flow Navigator (Vol),GVT&D,1h,Scalping,23,43.4783,1.3776,0.3486,2.2784,6.9538,7.6421,29250.6912,21232.5868,2.9251,-1.6333,19.2918
SuperTrend (Triple),MUTHOOTFIN,1h,Scalping,39,46.1538,1.3127,0.2007,2.0214,7.4749,7.6264,32854.4271,25027.5857,1.8252,-1.1918,-24.3252
SuperTrend (Triple),INDIGO,1h,Scalping,37,43.2432,1.3083,0.2098,1.8827,6.463,7.4609,32932.9281,25171.4932,2.0583,-1.1986,7.2569
SuperTrend (Triple),PERSISTENT,15min,Intraday,77,44.1558,1.1415,0.101,0.9855,11.6363,7.0036,62701.3712,54927.6516,1.8442,-1.2774,4.0324
Flow Navigator (Vol),TVSMOTOR,1h,Aggressive,16,31.25,1.4205,0.4589,2.2952,8.8873,6.8108,24801.2143,17459.3835,4.9602,-1.5872,11.2746
ORB + VWAP,KAYNES,5min,Intraday,81,39.5062,1.1477,0.0919,0.9051,8.8546,6.6257,57829.4633,50387.2277,1.8072,-1.0283,-6.669
ATM Premium (Open),GVT&D,5min,Aggressive,102,27.451,1.1072,0.0767,0.6602,16.2152,6.3212,80739.3485,72919.5984,2.8835,-0.9854,19.2918
SuperTrend (Triple),TATAELXSI,15min,Scalping,123,38.2114,1.1642,0.0516,1.0879,6.6923,6.1839,44991.7025,38645.5873,0.9573,-0.5085,-21.6101
ATM Premium (Open),TATAELXSI,5min,Scalping,110,39.0909,1.2115,0.0566,1.3939,7.4026,6.1828,35668.0566,29441.4372,0.8295,-0.4394,-21.6101
SuperTrend (Triple),INDIGO,1h,Aggressive,31,29.0323,1.2017,0.2458,1.1672,9.651,6.1651,45393.2026,37772.9863,5.0437,-1.717,7.2569
ORB + VWAP,PERSISTENT,5min,Intraday,73,42.4658,1.1698,0.0875,1.1339,5.9435,6.0207,43983.5137,37597.6403,1.4188,-0.8952,4.0324
ATM Premium (Open),THANGAMAYL,5min,Scalping,113,38.0531,1.123,0.0562,0.8236,6.7648,5.859,57979.2529,51629.8652,1.3484,-0.7376,46.6111
SuperTrend (Triple),HAL,15min,Scalping,138,41.3043,1.1526,0.0427,1.0164,4.3632,5.7517,44533.4762,38635.7535,0.7813,-0.477,17.1634
Flow Navigator (Vol),MUTHOOTFIN,1h,Aggressive,18,33.3333,1.3007,0.3622,1.6633,8.1502,5.6783,28204.5311,21684.6047,4.7008,-1.8071,-24.3252
SuperTrend (Triple),TATAELXSI,5min,Intraday,205,40.4878,1.0773,0.0287,0.5387,14.3793,5.2964,82069.3373,76178.4198,0.9888,-0.6244,-21.6101
SuperTrend (Triple),MUTHOOTFIN,1h,Intraday,30,43.3333,1.1689,0.2116,1.1651,10.4901,5.2811,43933.6899,37584.2112,3.3795,-2.2108,-24.3252
Flow Navigator (Vol),PERSISTENT,1h,Scalping,13,46.1538,1.6255,0.4082,3.4278,4.0061,5.2153,13791.2796,8484.3088,2.2985,-1.212,4.0324
