symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,gross_profit,gross_loss,net_return,end_capital,pnl_usd,max_dd,avg_bars_held,oos_sharpe,p_loss,p_sup,dsr,wfa_passed,wfa_consistency,hodl_net_return,hodl_max_dd,excess_vs_hold,beats_hold
ETHUSD,15m,price_action,Intraday_Trailing,3096,0.2777777777777778,0.3910490193677073,-5.36162625774587,-0.002021584723857744,2009.6099413836228,5139.023093915412,-0.9982008648551977,0.8995675724011911,-499.10043242759883,-0.9982014693952499,5.459625322997416,-0.3919761568599681,1.0,0.0,0.0,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.861163496896508,False
ETHUSD,15m,price_action,Scale_Out_2R,1781,0.49073554183043233,0.7768569115680662,-1.6089332356388126,-0.00136150480835297,4220.954760803528,5433.374792641848,-0.9247390679830312,37.63046600848441,-462.3695339915156,-0.9385087118974194,23.907916900617632,-0.17233215522004036,1.0,0.0,2.0200507933054723e-13,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.7877017000243415,False
ETHUSD,15m,smc,Scalping,3488,0.3311353211009174,0.7427003706372632,-2.0315182612880816,-0.0010055428260096295,5061.992909955391,6815.659598516184,-0.9731196948119819,13.440152594009039,-486.559847405991,-0.9753895774137274,7.114105504587156,-0.16259443760772876,1.0,0.0,0.0,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.8360823268532922,False
ETHUSD,15m,smc,Intraday,1936,0.381198347107438,0.9425121560222987,-0.404030755180272,-0.00040888878509377953,6489.2050177353985,6885.009361706177,-0.6463549927503078,176.8225036248461,-323.1774963751539,-0.7228420606697096,25.946797520661157,-0.12020298812283906,1.0,0.122,1.1755843099647834e-05,False,0.4,-0.1370373679586897,-0.6580911137208847,-0.5093176247916181,False
ETHUSD,15m,smc,Aggressive,1964,0.26272912423625255,0.8950125118230535,-0.6946829700802905,-0.0006855518127958206,5739.0939274642815,6412.305807629778,-0.7948195773020872,102.59021134895643,-397.4097886510436,-0.8491763358684132,25.0040733197556,-0.1725091330964092,1.0,0.024,3.0585808247218793e-07,False,0.2,-0.1370373679586897,-0.6580911137208847,-0.6577822093433975,False
ETHUSD,15m,smc,Intraday_Trailing,3815,0.2762778505897772,0.39870178044074034,-5.404334784488463,-0.0019191799483444375,2427.3840908440743,6088.2198423110885,-0.9993821575232703,0.3089212383648232,-499.6910787616352,-0.9993816598898856,5.143119266055046,-0.38946212627288584,1.0,0.0,0.0,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.8623447895645806,False
ETHUSD,15m,smc,Scale_Out_2R,2127,0.5101081335213916,0.821178641960785,-1.2807969707641853,-0.0010062842969240926,4914.467261945612,5984.650611724385,-0.9003919287392765,49.804035630361746,-450.19596436963826,-0.9099850744904578,21.813822284908323,-0.15633874904728084,1.0,0.0,6.887990178228165e-12,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.7633545607805868,False
ETHUSD,30m,ma_crossover,Scalping,2913,0.33436319945073806,0.8103865516849402,-1.4783044141573876,-0.0009772636188352685,6083.385093130177,7506.769553963746,-0.9505995804612299,24.700209769385033,-475.299790230615,-0.9558597137049512,6.87607277720563,-0.15408105697343677,1.0,0.0,1.1102230246251565e-15,False,0.0,-0.1370373679586897,-0.6580911137208847,-0.8135622125025402,False
ETHUSD,30m,ma_crossover,Intraday,1120,0.3767857142857143,0.93459524087167,-0.4758851120206836,-0.0006335703446522893,5069.8730273782785,5424.67242038356,-0.616161177206108,191.91941139694603,-308.08058860305397,-0.740338813513984,22.89017857142857,-0.09106272414643324,1.0,0.175,1.951348590634172e-05,False,0.4,-0.1370373679586897,-0.6580911137208847,-0.47912380924741826,False
ETHUSD,30m,ma_crossover,Aggressive,1138,0.26362038664323373,0.9244764097940998,-0.5093569580148026,-0.0006539866538585425,4555.062691026312,4927.181097071822,-0.6234516860036168,188.27415699819161,-311.72584300180836,-0.7152683176653435,22.154657293497365,-0.1260599430552557,1.0,0.156,1.4570586999163027e-05,False,0.4,-0.1370373679586897,-0.6580911137208847,-0.4864143180449271,False
