symbol,tf,strategy,profile,has_short,bf_trades,bf_pf,bf_sharpe,bf_net,bf_dd,bf_usd,af_trades,af_pf,af_sharpe,af_net,af_dd,af_usd
ETHUSD,4h,bb_rsi_reversion,Aggressive,False,84,0.9867134020399946,-0.0344034062322522,-0.19600439315143947,-0.3378787147223276,401.9978034242803,84,1.1072644175678905,0.21674335971603528,-0.025040978309245232,-0.28874358309423775,487.4795108453774
ETHUSD,4h,bb_rsi_reversion,Intraday_Trailing,False,106,0.9384470370540596,-0.1586274758423104,-0.13308085116000445,-0.24316328071540178,433.45957441999775,106,0.9454326787479819,-0.14057826917081795,-0.12423966743843884,-0.2447233260104503,437.8801662807806
ETHUSD,4h,vwap_cross,Scalping,False,154,0.9661756387870135,-0.1302383456856865,-0.13275731690506243,-0.4140296152900637,433.6213415474688,154,1.011636514303231,0.04296871080952854,-0.04723076275185134,-0.40496277660568436,476.38461862407434
ETHUSD,4h,vwap_cross,Intraday,False,89,0.691766758182002,-1.0830120287126006,-0.6207681749750132,-0.6727199371983116,189.61591251249337,89,0.7545442661464113,-0.7341933286073627,-0.5633843847694373,-0.680812514739035,218.30780761528135
ETHUSD,4h,vwap_cross,Aggressive,False,107,0.7153845981800956,-0.9871687022060578,-0.5975903930443849,-0.6179409928712409,201.20480347780756,107,0.7173138993498707,-0.9411299182427213,-0.6033126267991076,-0.6140161609291278,198.3436866004462
ETHUSD,4h,vwap_cross,Intraday_Trailing,False,160,0.8262587888201903,-0.5998550673052904,-0.33125138808484456,-0.4954084400748742,334.37430595757775,160,0.9014824544323109,-0.3071220285089387,-0.23453939649426103,-0.4804443591187118,382.7303017528695
ETHUSD,4h,breakout,Scalping,True,152,0.8131717500672868,-0.7711976048293324,-0.3553629900241141,-0.3790611448554976,322.31850498794296,256,1.0462395933215798,0.21499468460864146,0.04124677415374012,-0.31614512381123144,520.62338707687
ETHUSD,4h,breakout,Intraday,True,104,0.8021811143823109,-0.68854033570554,-0.4818825548639303,-0.5710825440155672,259.05872256803485,158,0.9502752250481764,-0.1882994158601152,-0.3705691837317766,-0.6368703584628869,314.71540813411167
ETHUSD,4h,breakout,Aggressive,True,112,0.8104240442194814,-0.6333837359191383,-0.4514564794772894,-0.5886400186240065,274.2717602613553,169,1.153079556948468,0.4867665847241725,0.328013937569239,-0.533854727287218,664.0069687846195
ETHUSD,4h,breakout,Intraday_Trailing,True,143,0.9139363518352994,-0.26698662197505435,-0.1645605002740248,-0.3255276416745125,417.7197498629876,254,0.9799918029214506,-0.07644559628475978,-0.1631941504820602,-0.3657188542375283,418.4029247589699
ETHUSD,4h,price_action,Scalping,True,162,0.9891176334260716,-0.04083002194213209,-0.12010932821404663,-0.38994691305612306,439.9453358929767,291,1.0431949408625771,0.21488210310259354,0.022513781041988645,-0.3643091103084012,511.2568905209943
ETHUSD,4h,price_action,Intraday,True,89,0.8815276098240051,-0.35716334464883787,-0.4374977261841444,-0.5391826565357258,281.2511369079278,118,1.2872322913500698,0.7767725994355456,0.8856784143776653,-0.43661254685064127,942.8392071888326
ETHUSD,4h,price_action,Aggressive,True,93,0.8399510058122729,-0.4600838986392764,-0.48101711012985215,-0.5583658150709356,259.4914449350739,124,0.9229180606845196,-0.23143718507770714,-0.4232582464208505,-0.5900816573797134,288.3708767895747
ETHUSD,4h,price_action,Intraday_Trailing,True,160,0.882901627925563,-0.38571179127095595,-0.25434462479713316,-0.3835951039510436,372.8276876014334,294,0.9780529752293385,-0.08830197293145815,-0.20572609990131652,-0.5754749636352948,397.13695004934175
ETHUSD,4h,smc,Scalping,True,219,1.0684821572863596,0.2943629022817411,0.10423122761259096,-0.3383200777908262,552.1156138062955,385,0.9538536234400378,-0.2787025929069731,-0.36914975845767684,-0.46468776824996755,315.4251207711616
ETHUSD,4h,smc,Intraday,True,120,0.8810249096493935,-0.4213958551742616,-0.503704566876737,-0.625916768933003,248.14771656163148,183,1.1617736936301142,0.5931444223994555,0.509380843010675,-0.6465723289298843,754.6904215053374
ETHUSD,4h,smc,Aggressive,True,128,0.9890825000982753,-0.03478962000140202,-0.24685343428957907,-0.5761605142335905,376.5732828552105,182,1.0930407050532496,0.3416725543541234,0.10308269209727694,-0.5308291485982773,551.5413460486385
ETHUSD,4h,smc,Intraday_Trailing,True,216,0.8304355789735536,-0.6851889413902268,-0.4420595111411568,-0.546038986937851,278.9702444294216,384,0.785619153832429,-1.1515675620628847,-0.7080787726036919,-0.7070156608110163,145.96061369815405
SOLUSD,5m,ma_crossover,Scalping,True,21564,0.43372565555996767,-37.2794601710016,-1.0,-1.0,0.0,23050,0.43477269373036626,-38.48926595338264,-1.0,-1.0,0.0
SOLUSD,5m,ma_crossover,Intraday,True,8048,0.6515136754999153,-11.199103320295082,-0.9999992837906352,-0.9999992823276492,0.0003581046824074896,8484,0.6533380471125732,-11.421677470196183,-0.9999995844637792,-0.9999995840893969,0.0002077681103829221
SOLUSD,5m,ma_crossover,Aggressive,True,8567,0.6301306876888245,-11.538468714047575,-0.9999996295995426,-0.9999996288929971,0.00018520022870838204,9169,0.6360639794930076,-11.693216742660208,-0.999999792814638,-0.9999997962132569,0.00010359268098891761
SOLUSD,5m,ma_crossover,Intraday_Trailing,True,18980,0.4067475395724996,-32.073731826049155,-0.9999999999999976,-0.9999999999999976,1.2212453270876722e-12,20212,0.407118802097564,-33.118868699520796,-0.9999999999999997,-0.9999999999999997,1.6653345369377348e-13
SOLUSD,5m,mean_reversion,Scalping,False,6111,0.4710496561854041,-17.03585779900635,-0.9999797017919245,-0.9999797224290681,0.010149104037737722,6111,0.47079891073555813,-17.043935429268906,-0.9999798357825468,-0.9999798826872319,0.010082108726605643
SOLUSD,5m,mean_reversion,Intraday,False,4751,0.6692236418323348,-7.919610974876017,-0.9997729145828259,-0.999788278339092,0.1135427085870444,4751,0.6671562481439157,-7.903454839934771,-0.9997817238142973,-0.9997912347160404,0.10913809285134635
SOLUSD,5m,mean_reversion,Aggressive,False,5037,0.6520640360161317,-8.11548190652167,-0.9998325951560905,-0.9998466190749697,0.08370242195476774,5037,0.6542618985144564,-7.880638014579594,-0.9998238829687972,-0.9998404133105939,0.08805851560139688
SOLUSD,5m,mean_reversion,Intraday_Trailing,False,5883,0.4247808206142008,-16.31585747579521,-0.9999780546055331,-0.999978844271047,0.010972697233435635,5883,0.4230354781340894,-16.39188703702608,-0.9999788287159089,-0.9999794837811281,0.010585642045535248
